Sentiment,Sentence
Negative,"Tweet 
Investors sold shares of Workday Inc (NASDAQ:WDAY) on strength during trading on Friday following insider selling activity."
Negative,"$49.68 million flowed into the stock on the tick-up and $322.46 million flowed out of the stock on the tick-down, for a money net flow of $272.78 million out of the stock."
Negative,"Of all stocks tracked, Workday had the 0th highest net out-flow for the day."
Neutral,"Workday traded up $0.12 for the day and closed at $103.47Specifically, SVP James P. Shaughnessy sold 8,781 shares of the company's stock in a transaction that occurred on Monday, October 16th."
Negative,"The shares were sold at an average price of $108.44, for a total transaction of $952,211.64."
Neutral,"The transaction was disclosed in a legal filing with the Securities & Exchange Commission, which is available through this link ."
Negative,"Also, Director George J. Still, Jr. sold 10,000 shares of the company's stock in a transaction that occurred on Thursday, December 14th."
Negative,"The stock was sold at an average price of $102.91, for a total transaction of $1,029,100.00."
Neutral,The disclosure for this sale can be found here .
Negative,"Over the last quarter, insiders have sold 1,514,120 shares of company stock valued at $160,933,215."
Neutral,37.71% of the stock is owned by corporate insiders.
Neutral,Several equities analysts have issued reports on WDAY shares.
Neutral,"Guggenheim started coverage on shares of Workday in a research report on Monday, October 30th."
Neutral,"They issued a ""neutral"" rating and a $105.00 price target for the company."
Very Negative,"UBS restated a ""sell"" rating and issued a $95.00 price target (down from $121.00) on shares of Workday in a research report on Thursday, November 9th."
Neutral,"Robert W. Baird restated a ""buy"" rating and issued a $114.00 price target on shares of Workday in a research report on Friday, November 10th."
Positive,"Barclays upped their price target on shares of Workday from $108.00 to $117.00 and gave the company an ""equal weight"" rating in a research report on Friday, November 17th."
Positive,"Finally, Deutsche Bank restated a ""hold"" rating and issued a $105.00 price target (up from $95.00) on shares of Workday in a research report on Thursday, August 31st."
Neutral,"Four research analysts have rated the stock with a sell rating, twenty-two have assigned a hold rating and fourteen have issued a buy rating to the company."
Neutral,"The stock has a consensus rating of ""Hold"" and a consensus target price of $103.03."
Neutral,"Get Workday alerts: 
The company has a debt-to-equity ratio of 0.74, a quick ratio of 2.11 and a current ratio of 2.11."
Neutral,"Workday (NASDAQ:WDAY) last posted its quarterly earnings data on Wednesday, November 29th."
Positive,"The software maker reported $0.24 earnings per share for the quarter, topping the Thomson Reuters' consensus estimate of $0.14 by $0.10."
Positive,"The company had revenue of $555.40 million during the quarter, compared to analysts' expectations of $541.05 million."
Negative,Workday had a negative net margin of 16.91% and a negative return on equity of 19.73%.
Positive,Workday's revenue for the quarter was up 35.6% compared to the same quarter last year.
Neutral,"During the same period in the prior year, the company posted $0.03 earnings per share."
Neutral,analysts expect that Workday Inc will post -1.1 EPS for the current year.
Neutral,A number of hedge funds and other institutional investors have recently modified their holdings of WDAY.
Positive,IFP Advisors Inc boosted its stake in Workday by 17.6% during the second quarter.
Positive,"IFP Advisors Inc now owns 1,176 shares of the software maker's stock worth $114,000 after acquiring an additional 176 shares in the last quarter."
Neutral,Global X Management Co.
Positive,LLC boosted its stake in Workday by 9.3% during the second quarter.
Neutral,Global X Management Co.
Positive,"LLC now owns 1,136 shares of the software maker's stock worth $110,000 after acquiring an additional 97 shares in the last quarter."
Positive,Schwab Charles Investment Management Inc. boosted its stake in Workday by 18.7% during the second quarter.
Positive,"Schwab Charles Investment Management Inc. now owns 217,703 shares of the software maker's stock worth $21,118,000 after acquiring an additional 34,266 shares in the last quarter."
Positive,First Trust Advisors LP boosted its stake in Workday by 338.4% during the second quarter.
Positive,"First Trust Advisors LP now owns 64,106 shares of the software maker's stock worth $6,218,000 after acquiring an additional 49,483 shares in the last quarter."
Positive,"Finally, DekaBank Deutsche Girozentrale boosted its stake in Workday by 35.0% during the second quarter."
Positive,"DekaBank Deutsche Girozentrale now owns 11,029 shares of the software maker's stock worth $1,126,000 after acquiring an additional 2,859 shares in the last quarter."
Neutral,67.58% of the stock is currently owned by institutional investors and hedge funds.
Neutral,"Workday Company Profile 
Workday, Inc is a provider of enterprise cloud applications for finance and human resources."
Neutral,"The Company delivers financial management, human capital management and analytics applications designed for various companies, educational institutions and government agencies."
Neutral,"As part of its applications, the Company provides embedded analytics that capture the content and context of everyday business events, facilitating informed decision-making from wherever users are working."
Neutral,Workday   Workday
